Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2018;0.5;0.71;10009;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2018;3.6;19.25;3354;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2018;1.2;6.35;11024;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2018;1.3;17.51;2339;;
Average cultivated land area (ha),;Household level;Peru;National;2018;1.2;9.48;13363;;
Average cultivated land area (ha),;Household level;Peru;Rural;2019;0.9;3.62;8786;;
Average cultivated land area (ha),;Household level;Peru;Urban;2019;1.1;3.05;3163;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2019;1.1;2.56;982;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2019;0.4;1;1342;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2019;1.1;3.71;9625;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2019;0.8;3.89;6488;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2019;0.9;2.37;2803;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2019;1.1;2.39;1331;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2019;1.5;3.08;824;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2019;2.5;4.99;503;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2019;0.5;0.67;9341;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2019;2.2;6.01;2608;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2019;1.1;3.69;10040;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2019;0.6;1.77;1909;;
Average cultivated land area (ha),;Household level;Peru;National;2019;1;3.43;11949;;
Average cultivated land area (ha),;Household level;Peru;Rural;2020;1;7.18;4173;;
Average cultivated land area (ha),;Household level;Peru;Urban;2020;1.6;21.71;1655;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2020;0.7;1.47;517;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2020;0.4;1.16;690;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2020;1.4;16.61;4621;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2020;0.9;9.1;2153;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2020;0.8;3.14;1541;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2020;2.1;32.44;960;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2020;1.1;2.83;671;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2020;2.4;8.25;503;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2020;0.5;0.88;4733;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2020;3;27.26;1095;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2020;1.4;16.45;4779;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2020;0.6;3.43;1048;;
Average cultivated land area (ha),;Household level;Peru;National;2020;1.2;14.87;5828;;
Average cultivated land area (ha),;Household level;Peru;Rural;2021;0.9;4.65;7405;;
Average cultivated land area (ha),;Household level;Peru;Urban;2021;1.2;11.49;3249;;
Average cultivated land area (ha),;Household level;Peru;Only male adults in the household;2021;1.1;3.28;970;;
Average cultivated land area (ha),;Household level;Peru;Only female adults in the household;2021;0.5;6.65;1375;;
Average cultivated land area (ha),;Household level;Peru;Male and female adults in the household;2021;1.1;8.75;8307;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 1;2021;0.7;4.38;4964;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 2;2021;1.2;13.84;2543;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 3;2021;1.1;7.48;1444;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 4;2021;1.2;3.11;1001;;
Average cultivated land area (ha),;Household level;Peru;Expenditure quintile 5;2021;2.2;4.96;702;;
Average cultivated land area (ha),;Household level;Peru;Small holder farms;2021;0.4;0.72;8411;;
Average cultivated land area (ha),;Household level;Peru;Non-small holder farms;2021;2.4;14.62;2243;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture greater than 30%;2021;1.1;8.92;8977;;
Average cultivated land area (ha),;Household level;Peru;Income from agriculture lower than 30%;2021;0.6;2.17;1677;;
Average cultivated land area (ha),;Household level;Peru;National;2021;1;8.16;10654;;
Average cultivated land area (ha),;Household level;Senegal;Rural;2019;3.5999999;3.3900001;2260;;
Average cultivated land area (ha),;Household level;Senegal;Urban;2019;1.6;2.03;613;;
Average cultivated land area (ha),;Household level;Senegal;Only male adults in the household;2019;1.7;2.0699999;42;;
Average cultivated land area (ha),;Household level;Senegal;Only female adults in the household;2019;2;3.4100001;138;;
Average cultivated land area (ha),;Household level;Senegal;Male and female adults in the household;2019;3.5;3.3099999;2691;;
Average cultivated land area (ha),;Household level;Senegal;Expenditure quintile 1;2019;3.3;3.1099999;1173;;
Average cultivated land area (ha),;Household level;Senegal;Expenditure quintile 2;2019;3.5;3.3699999;779;;
Average cultivated land area (ha),;Household level;Senegal;Expenditure quintile 3;2019;3.4000001;3.6600001;495;;
Average cultivated land area (ha),;Household level;Senegal;Expenditure quintile 4;2019;3.3;3.5799999;324;;
Average cultivated land area (ha),;Household level;Senegal;Expenditure quintile 5;2019;2.2;2.28;102;;
Average cultivated land area (ha),;Household level;Senegal;Small holder farms;2019;1.8;1.55;2067;;
Average cultivated land area (ha),;Household level;Senegal;Non-small holder farms;2019;5.8000002;3.8900001;806;;
Average cultivated land area (ha),;Household level;Senegal;Income from agriculture greater than 30%;2019;3.7;3.52;1540;;
Average cultivated land area (ha),;Household level;Senegal;Income from agriculture lower than 30%;2019;2.9000001;3;1333;;
Average cultivated land area (ha),;Household level;Senegal;National;2019;3.3;3.3199999;2873;;
Average cultivated land area (ha),;Household level;Serbia;Rural;2007;2.5;2.8699999;1324;;
Average cultivated land area (ha),;Household level;Serbia;Urban;2007;1.5;2.9000001;271;;
Average cultivated land area (ha),;Household level;Serbia;Only male adults in the household;2007;1.9;2.1800001;102;;
Average cultivated land area (ha),;Household level;Serbia;Only female adults in the household;2007;1.5;2.6900001;117;;
Average cultivated land area (ha),;Household level;Serbia;Male and female adults in the household;2007;2.4000001;2.95;1376;;
Average cultivated land area (ha),;Household level;Serbia;Expenditure quintile 1;2007;1.7;2.0699999;412;;
Average cultivated land area (ha),;Household level;Serbia;Expenditure quintile 2;2007;2.0999999;2.6900001;397;;
Average cultivated land area (ha),;Household level;Serbia;Expenditure quintile 3;2007;2.9000001;3.6900001;333;;
Average cultivated land area (ha),;Household level;Serbia;Expenditure quintile 4;2007;2.4000001;2.8599999;275;;
Average cultivated land area (ha),;Household level;Serbia;Expenditure quintile 5;2007;2.4000001;2.99;178;;
Average cultivated land area (ha),;Household level;Serbia;Small holder farms;2007;1;0.94;810;;
Average cultivated land area (ha),;Household level;Serbia;Non-small holder farms;2007;4.1999998;3.51;647;;
Average cultivated land area (ha),;Household level;Serbia;Income from agriculture greater than 30%;2007;3.5;3.79;516;;
Average cultivated land area (ha),;Household level;Serbia;Income from agriculture lower than 30%;2007;2;2.29;903;;
Average cultivated land area (ha),;Household level;Serbia;No income from agriculture;2007;0.60000002;1.08;176;;
Average cultivated land area (ha),;Household level;Serbia;National;2007;2.3;2.9000001;1595;;
Average cultivated land area (ha),;Household level;Togo;Rural;2019;1.8;1.77;3114;;
Average cultivated land area (ha),;Household level;Togo;Urban;2019;1;1.33;368;;
Average cultivated land area (ha),;Household level;Togo;Only male adults in the household;2019;1;1.29;247;;
Average cultivated land area (ha),;Household level;Togo;Only female adults in the household;2019;1;1.12;471;;
Average cultivated land area (ha),;Household level;Togo;Male and female adults in the household;2019;1.9;1.83;2759;;
Average cultivated land area (ha),;Household level;Togo;Expenditure quintile 1;2019;1.8;1.71;1208;;
Average cultivated land area (ha),;Household level;Togo;Expenditure quintile 2;2019;1.8;1.7;876;;
Average cultivated land area (ha),;Household level;Togo;Expenditure quintile 3;2019;1.8;1.89;705;;
Average cultivated land area (ha),;Household level;Togo;Expenditure quintile 4;2019;1.7;1.83;464;;
Average cultivated land area (ha),;Household level;Togo;Expenditure quintile 5;2019;1.2;1.41;229;;
Average cultivated land area (ha),;Household level;Togo;Small holder farms;2019;0.89999998;0.87;2423;;
Average cultivated land area (ha),;Household level;Togo;Non-small holder farms;2019;3.0999999;1.98;1059;;
Average cultivated land area (ha),;Household level;Togo;Income from agriculture greater than 30%;2019;2;1.84;2646;;
Average cultivated land area (ha),;Household level;Togo;Income from agriculture lower than 30%;2019;0.89999998;1.15;836;;
Average cultivated land area (ha),;Household level;Togo;National;2019;1.7;1.75;3482;;
Average cultivated land area (ha),;Household level;Uganda;Rural;2010;1.1;1;1985;;
Average cultivated land area (ha),;Household level;Uganda;Urban;2010;0.80000001;0.82999998;310;;
Average cultivated land area (ha),;Household level;Uganda;Only male adults in the household;2010;0.60000002;0.63;104;;
Average cultivated land area (ha),;Household level;Uganda;Only female adults in the household;2010;0.89999998;0.88;367;;
Average cultivated land area (ha),;Household level;Uganda;Male and female adults in the household;2010;1.1;1.02;1821;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 1;2010;0.89999998;0.85000002;557;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 2;2010;1;0.93000001;567;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 3;2010;1;1.04;524;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 4;2010;1.2;1.0599999;414;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 5;2010;1.1;1.17;219;;
Average cultivated land area (ha),;Household level;Uganda;Small holder farms;2010;0.60000002;0.60000002;1501;;
Average cultivated land area (ha),;Household level;Uganda;Non-small holder farms;2010;1.4;1.15;792;;
Average cultivated land area (ha),;Household level;Uganda;Income from agriculture greater than 30%;2010;1;0.94;1579;;
Average cultivated land area (ha),;Household level;Uganda;Income from agriculture lower than 30%;2010;1;1.09;716;;
Average cultivated land area (ha),;Household level;Uganda;National;2010;1;0.99000001;2295;;
Average cultivated land area (ha),;Household level;Uganda;Rural;2011;1;0.85000002;1875;;
Average cultivated land area (ha),;Household level;Uganda;Urban;2011;1;0.99000001;252;;
Average cultivated land area (ha),;Household level;Uganda;Only male adults in the household;2011;0.80000001;0.81;102;;
Average cultivated land area (ha),;Household level;Uganda;Only female adults in the household;2011;0.80000001;0.62;352;;
Average cultivated land area (ha),;Household level;Uganda;Male and female adults in the household;2011;1.1;0.88999999;1670;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 1;2011;1;0.86000001;483;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 2;2011;1;0.77999997;458;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 3;2011;1;0.85000002;471;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 4;2011;1;0.88999999;370;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 5;2011;1.1;1;283;;
Average cultivated land area (ha),;Household level;Uganda;Small holder farms;2011;0.69999999;0.56;1378;;
Average cultivated land area (ha),;Household level;Uganda;Non-small holder farms;2011;1.3;0.97000003;749;;
Average cultivated land area (ha),;Household level;Uganda;Income from agriculture greater than 30%;2011;1;0.86000001;1548;;
Average cultivated land area (ha),;Household level;Uganda;Income from agriculture lower than 30%;2011;1;0.85000002;579;;
Average cultivated land area (ha),;Household level;Uganda;National;2011;1;0.86000001;2127;;
Average cultivated land area (ha),;Household level;Uganda;Rural;2012;1;0.80000001;1912;;
Average cultivated land area (ha),;Household level;Uganda;Urban;2012;1;0.86000001;259;;
Average cultivated land area (ha),;Household level;Uganda;Only male adults in the household;2012;0.80000001;0.63;93;;
Average cultivated land area (ha),;Household level;Uganda;Only female adults in the household;2012;0.80000001;0.67000002;357;;
Average cultivated land area (ha),;Household level;Uganda;Male and female adults in the household;2012;1.1;0.82999998;1719;;
Average cultivated land area (ha),;Household level;Uganda;Expenditure quintile 1;2012;0.89999998;0.69;608;;
